,title,like_count_1h,like_count_2h,like_count_3h,like_count_4h,like_count_5h,like_count_6h,comment_count_1h,comment_count_2h,comment_count_3h,comment_count_4h,comment_count_5h,comment_count_6h,forum_id,forum_stats,like_count_24h,weekday,hour
25548,道理我都懂。,2,2,3,3,3,4,4,4,4,4,4,4,817817,391.7,13,5,16
36256,北宜車禍過世少女的家屬 真的很扯= =/更,2,22,81,289,566,906,7,16,30,61,131,186,497426,359.8,3217,6,6
25864,好久不見 捐血車來囉～(更新）,2,4,4,4,4,4,1,1,1,1,1,1,604447,38.0,15,3,17
13803,大學日常生活,4,4,4,4,4,5,4,5,5,5,5,5,717646,24.0,5,3,9
23143,女人！！,4,5,5,5,6,6,0,1,1,1,1,1,687605,117.0,7,2,13
35297,112臺大商研 口試名單,3,5,8,10,11,13,3,5,5,5,5,5,632718,54.5,17,4,6
25493,鼓勵另一半運動的方式（內附與女友的運動合約,2,4,7,7,7,9,9,21,30,35,38,42,817817,391.7,13,4,10
654,Neal beast V1,2,4,6,11,14,15,2,2,3,3,5,6,695115,3.7,26,3,5
44605,尋找專櫃品牌內衣～e罩杯,0,0,2,2,2,3,1,1,2,2,3,3,24561,93.7,9,4,10
6135,台灣人學著點，若真的開戰，中共才不是最大的威脅,3,6,9,10,14,14,2,7,28,36,37,49,497426,359.8,23,4,3
11534,工作的第一份薪水,1,2,3,3,5,5,1,1,1,1,2,2,47510,0.6,12,4,12
45541,碩一的生活,0,0,0,6,12,15,8,9,11,12,16,23,632718,54.5,66,0,4
44852,聖結石又搞投資,1,2,3,3,4,4,1,3,3,4,5,5,445193,24.6,99,4,15
35067,今天才知道牙醫這麼慘,8,9,14,23,31,42,0,0,0,0,0,0,432672,41.5,123,3,3
28064,什麼樣的條件才會吸引你應徵呢？,0,0,0,0,0,0,1,1,1,1,1,1,770696,160.6,7,1,18
39534,真的好想去日本QAQ,3,3,4,4,4,4,0,1,3,4,4,5,14804,42.6,10,3,4
35436,#討論 Lucy是不是不適合走搞笑路線了？,0,1,2,3,3,3,3,3,3,4,4,4,445193,24.6,9,2,14
19184,學校內網路太差了吧,1,2,4,5,5,5,4,4,4,5,5,6,174372,56.4,5,1,3
43526,比北景雲更嚴重的事 外界不知道的桃園,0,6,6,6,6,6,0,3,5,5,5,5,477997,42.3,10,4,9
16820,考多益送雞排,0,1,3,3,5,6,1,9,28,30,39,46,878885,21.2,39,5,1
11483,好無聊,3,3,3,3,3,4,17,34,47,61,65,67,430940,47.0,7,5,8
43058,游泳課,0,0,0,0,0,0,0,0,0,0,0,1,318713,18.1,5,1,3
27100,#上榜心得 111年經建行政高普考雙榜心得,6,13,16,21,22,24,1,4,4,4,4,4,531929,28.7,28,4,11
38533,2022 VIVIZ FANMEETING [THE 1ST VIVID DAYZ] Official MD 第二次銷售通知,7,8,9,11,11,12,0,0,0,0,0,0,158995,3.1,15,0,5
33408,#鑑定 #鑑定 請問這是什麼蟲,0,0,0,1,1,1,0,2,2,2,2,2,63642,22.5,7,0,16
25440,想問圖片中的螺旋棒用途是..？,0,0,1,2,4,4,5,6,12,20,21,21,497426,359.8,6,2,14
15514,#分享 第一次醫美體驗，先跟雙下巴說掰掰,1,1,1,1,5,6,0,1,4,5,9,11,492107,31.8,46,5,4
30428,請益金牛男,0,0,1,1,2,2,10,17,19,21,21,22,342324,79.0,6,1,11
41405,求剪髮推介,0,0,0,0,0,0,0,0,0,1,1,1,353181,3.3,9,4,17
43817,#請益 敏感肌沐浴乳&保濕精華液推薦,0,0,2,4,4,4,2,5,6,6,6,7,156928,140.1,5,4,0
16454,嘉義最美豆花店！親民價格+文青風環境~不放入探訪清單太可惜！,1,3,3,4,6,6,0,0,0,0,0,0,160419,81.9,12,2,20
35711,有咩醫美療程可明顯收毛孔,1,3,4,4,4,4,1,3,5,6,6,7,353181,3.3,14,0,7
44915,秋冬浪漫香氣 玫瑰護髮素分享🌹,4,5,5,5,6,6,0,2,2,3,3,4,285632,59.6,9,2,5
35857,發現朋友很可怕,0,1,2,2,3,3,0,0,0,0,1,1,676371,391.4,12,5,9
14186,#討論 練腿日,0,1,1,1,1,1,4,6,8,8,8,10,728866,21.3,7,4,8
4699,知名企業,0,0,1,1,1,1,0,0,0,0,0,0,770696,160.6,12,4,17
44727,理工學院聯合微積分的課本電子檔分享,2,5,8,9,11,12,0,1,2,2,2,2,249745,34.1,16,2,12
24987,關於語言相關的加分請益,0,0,0,0,0,0,3,3,4,4,4,4,139045,5.7,5,2,16
15868,轉學考後到新的學校快過不下去了,1,4,5,5,5,5,7,9,11,14,16,16,676371,391.4,9,3,12
33494,今天有個學弟,3,3,4,4,4,4,2,2,2,2,2,2,750159,1128.3,5,2,14
49254,被搭訕很不爽又害怕,0,0,1,2,8,12,2,3,6,7,8,11,676371,391.4,68,2,18
42662,輔大在地美食,9,13,16,18,18,18,17,23,25,26,26,28,136811,59.5,23,2,8
43566,沒素質,0,1,1,1,2,2,5,5,7,7,7,7,176551,22.4,5,3,10
4038,#問題 Bottega veneta綠棉繩,0,0,1,1,1,1,0,1,1,1,2,3,641259,15.1,9,6,2
40824,處女男VS處女女,0,0,0,0,1,2,0,0,0,0,0,0,342324,79.0,11,1,18
20076,再一次的樂成宮後續,2,5,7,8,10,12,4,8,9,9,9,9,817817,391.7,19,3,7
27301,記帳App 推薦,0,0,0,0,0,0,2,3,3,3,3,3,717594,39.0,6,0,5
21939,#分享 Dr'sFormula溫潤舒活洗髮精三代💜,3,3,3,3,3,3,1,1,1,1,1,1,285632,59.6,5,0,14
17530,19歲已經禿頭了,1,2,6,9,10,11,0,2,5,10,13,13,24561,93.7,53,0,13
25517,借錢不還怎麼辦,1,2,4,4,6,7,7,13,13,13,14,15,676371,391.4,10,4,13
20006,辣個,4,5,5,5,5,5,5,12,12,12,12,12,750159,1128.3,5,1,11
26394,真的好衰啊,2,2,2,2,2,2,0,0,1,1,1,1,695115,3.7,9,2,16
43483,阿勞入侵圖書館？,0,0,2,3,3,5,0,2,2,5,7,11,385902,15.3,9,2,6
22771,第一次遇見花香的那刻 ep1,10,15,16,18,20,21,1,2,6,6,6,6,687605,117.0,84,6,15
30760,#分享 終於有微微腹肌了😆,3,3,5,7,9,10,10,15,18,23,30,36,656378,16.0,37,0,4
35134,#分享 被很多人說鏡頭拍不出本人有多好看的玄彬,14,30,55,92,114,128,1,1,2,3,4,4,626235,38.4,357,6,11
12149,有人知道這是什麼曲風嗎？,4,4,4,4,4,4,0,0,0,0,0,0,420601,20.2,5,3,5
16295,#問 #已解決 nubra黏到沙子怎麼清,0,0,0,3,3,3,1,2,4,4,43,48,24561,93.7,24,1,11
31548,#手遊 關於小鎮捐獻我一直有個疑惑,3,6,12,13,17,17,2,4,7,8,10,11,63088,37.5,29,0,10
24605,#問題 擦撞到汽車後照鏡應該去自首嗎？😭,1,1,4,6,9,9,3,3,12,20,25,27,17362,25.6,9,1,2
32232,人文通識,2,4,4,4,4,4,1,1,1,1,2,2,22465,63.0,5,3,12
37049,資工系學會會長轉學,5,5,5,5,5,6,1,2,2,3,3,3,401869,33.2,9,4,15
29643,好奇大家的班級情況,2,2,3,3,3,5,3,6,7,8,9,21,650776,19.2,6,4,8
40071,#大眾占卜 他/她對你是否認真？🧜🏻‍♀️🧜🏻‍♂️,1,6,7,7,10,10,1,1,1,2,2,3,40715,32.9,24,2,14
23888,從第一次相遇開始想妳,4,4,7,8,8,8,1,1,1,1,1,1,687605,117.0,10,0,1
16684,世界大學排行榜討論,0,1,2,3,3,3,4,6,8,8,8,8,108301,23.2,8,3,2
7010,大咖同台飆戲《毒梟聖徒》,3,3,3,3,3,4,2,2,2,2,2,2,832822,17.1,13,6,17
27732,有沒有教學ㄉ片片,3,7,7,7,7,7,6,6,6,6,7,7,687605,117.0,10,1,3
11277,遊戲玩到一半中國隊友被抓走了,1,2,2,4,4,4,1,1,1,2,3,3,497426,359.8,18,1,20
26374,退學通知書,1,1,4,4,4,5,4,4,5,5,5,5,430940,47.0,9,0,15
31979,根管治療斷掉,0,0,0,0,0,1,0,1,2,2,2,2,350281,16.4,13,4,15
15886,#大眾占卜 當前能量場狀態&即將面對課題（已解答～）,4,7,8,8,9,9,3,3,8,9,12,14,40715,32.9,32,0,9
28906,凌晨的活中/更,0,0,0,0,0,1,4,4,8,8,9,10,732778,35.4,24,2,17
30669,#開箱 週年慶之官網篇（GA/雅詩蘭黛/香緹卡）,3,6,10,12,12,12,0,1,5,5,5,5,156928,140.1,12,6,11
40706,#詢問 #問 The Album 日版Jisoo單封,3,12,17,22,33,37,0,0,0,0,0,0,495424,6.9,52,4,7
